ID,FirstName,LastName,Address,City,State,Zip,Classification,PayMethod,Salary,Hourly,Commission,Route,Account,OfficePhone,DOB,SSN,StartDate,PermissionLevel,JobTitle,Dpt,Email,EarningToDate,Archived,AboutMe
752867,Ruth S.,Haley,6384 Risus Av. Ap #943,Waterbury,CT,58012,2,1,61050.17,42.26,24,12046284-9,399575-5166,9999999999,01011990,555555555,01012020,2,Some Job,Some Department,user@company.com,0,False,"""About Me..."""
226423,Randall,Horton,3834 Tortor Av.,Topeka,KS,52541,2,2,40872.60,57.05,31,13255163-4,104934-8350,9999999999,01011990,555555555,01012020,2,Some Job,Some Department,user@company.com,0,False,"""About Me..."""
160769,Grant X.,Mccarthy,9846 Arcu. Road,Ketchikan,AK,99634,3,1,36025.38,79.99,11,7117844-7,288413-2164,9999999999,01011990,555555555,01012020,2,Some Job,Some Department,user@company.com,0,False,"""About Me..."""
265154,Amir,Mcintosh,83493 Nibh. Ave,West Jordan,UT,40532,3,2,91254.76,67.73,27,8752077-3,866009-0500,9999999999,01011990,555555555,01012020,2,Some Job,Some Department,user@company.com,0,False,"""About Me..."""
379767,Jin W.,Morrison,8628 Id St.,Milwaukee,WI,80356,3,1,64467.10,82.98,33,21038669-6,654904-8491,9999999999,01011990,555555555,01012020,2,Some Job,Some Department,user@company.com,0,False,"""About Me..."""
939825,Yoko M.,Pitts,4825 Nec Ave,Meridian,ID,45614,1,1,35251.89,46.64,13,44553589-3,785957-2104,9999999999,01011990,555555555,01012020,2,Some Job,Some Department,user@company.com,0,False,"""About Me..."""
969829,Bruce A.,Raymond,65009 Iaculis Road,Juneau,AK,99719,1,2,37697.26,17.33,22,28504011-6,397558-4404,9999999999,01011990,555555555,01012020,2,Some Job,Some Department,user@company.com,0,False,"""About Me..."""
454912,Sylvester J.,Rowland,8628 Pede Ave,Baltimore,MD,93306,1,1,49570.97,25.20,32,5363288-2,339235-5453,9999999999,01011990,555555555,01012020,2,Some Job,Some Department,user@company.com,0,False,"""About Me..."""
502141,Brock,Sandoval,4882 Consectetuer Street,Wyoming,WY,15840,2,1,58436.75,26.25,32,13977869-3,906688-1963,9999999999,01011990,555555555,01012020,2,Some Job,Some Department,user@company.com,0,False,"""About Me..."""
934003,Kelsey K.,Saunders,9920 Aliquam Av. Ap #128,Salt Lake City,UT,97100,1,1,42548.72,31.24,18,37723944-K,769125-4564,9999999999,01011990,555555555,01012020,2,Some Job,Some Department,user@company.com,0,False,"""About Me..."""
674261,Scott T.,Shields,8402 Pretium Rd. Ap #163,Grand Rapids,MI,26321,1,1,86913.93,83.43,15,21871936-8,779622-5618,9999999999,01011990,555555555,01012020,2,Some Job,Some Department,user@company.com,0,False,"""About Me..."""
522759,TaShya D.,Snow,2624 Hendrerit St.,College,AK,99789,2,2,50005.50,68.13,25,36644938-8,244269-0000,8017689117,02141995,123456789,03222017,2,HR Clerk,HR,t.snow@company.com,0,False,"""About Me..."""
224568,Jenna B.,Strickland,70156 Rutrum Street,Phoenix,AZ,86207,1,1,57545.39,24.70,23,33878326-4,248847-6397,9999999999,01011990,555555555,01012020,2,Some Job,Some Department,user@company.com,0,False,"""About Me..."""
163695,Beatrice P.,Ware,8903 Eget Rd.,Oklahoma City,OK,20552,1,1,46342.01,86.47,17,26387832-9,212804-3003,9999999999,01011990,555555555,01012020,2,Some Job,Some Department,user@company.com,0,False,"""About Me..."""
426824,Mira Y.,Wolf,37224 Pharetra Ave,Savannah,GA,22329,1,2,45576.80,26.99,34,12666803-1,158217-3462,9999999999,01011990,555555555,01012020,2,Some Job,Some Department,user@company.com,0,False,"""About Me..."""
285767,Porter,Wolfe,4842 Tincidunt Av.,Miami,FL,44875,1,1,41212.83,87.54,22,16506147-0,087434-1662,9999999999,01011990,555555555,01012020,2,Some Job,Some Department,user@company.com,0,False,"""About Me..."""
983010,Jolene,Burgess,P.O. Box 873,South Burlington,VT,32036,2,2,20042.77,40.17,23,15300058-1,828625-2906,9999999999,01011990,555555555,01012020,2,Some Job,Some Department,user@company.com,0,False,"""About Me..."""
